case_id,description_complete
1954-10-00026,"[Forme] nan | [Forme 2]  Engin | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] Autres (comparaison, repères, etc.) | [Détails visuels] ""Le 31 octobre 1954, vers 20 h, un agriculteur (T1) et son employé (T2) en tracteur observent, en arrivant dans un herbage, à une vingtaine de mètre du chemin suivi, un phénomène lumineux qui les effaye Le T1 décrit """"engin lumineux qui tournait à quelques mètres du sol"""" Le lendemain l'agriculteur racontera à l'adjoint au maire que l'objet avait une """"forme circulaire d'un diamètre d'une table ronde ordinaire"""" et avait eu l'impression d'avoir entendu """"le même bourdonnement qu'un essai d'abeille quittant sa ruche"""""
1954-10-00026,"[Forme] 3D - 2 axes de symétrie - Sphérique, Boule | [Forme 2]  Engin | [Couleur] Orangé, feu | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] ""Le 31 octobre 1954, vers 20 h, un agriculteur (T1) et son employé (T2) en tracteur observent, en arrivant dans un herbage, à une vingtaine de mètre du chemin suivi, un phénomène lumineux qui les effaye Le T1 décrit """"engin lumineux qui tournait à quelques mètres du sol"""" Le lendemain l'agriculteur racontera à l'adjoint au maire que l'objet avait une """"forme circulaire d'un diamètre d'une table ronde ordinaire"""" et avait eu l'impression d'avoir entendu """"le même bourdonnement qu'un essai d'abeille quittant sa ruche"""""
1954-10-00026,"[Forme] 3D - 2 axes de symétrie - Sphérique, Boule | [Forme 2]  Phénomène | [Couleur] Multicolore | [Couleur 2] nan | [Luminosité] nan | [Taille] Chiffrée | [Détails visuels] ""Le 31 octobre 1954, vers 20 h, un agriculteur (T1) et son employé (T2) en tracteur observent, en arrivant dans un herbage, à une vingtaine de mètre du chemin suivi, un phénomène lumineux qui les effaye Le T1 décrit """"engin lumineux qui tournait à quelques mètres du sol"""" Le lendemain l'agriculteur racontera à l'adjoint au maire que l'objet avait une """"forme circulaire d'un diamètre d'une table ronde ordinaire"""" et avait eu l'impression d'avoir entendu """"le même bourdonnement qu'un essai d'abeille quittant sa ruche"""""
1954-10-00026,"[Forme] 3D - 1 axe de symétrie - Cylindrique | [Forme 2]  Engin | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] ""Le 31 octobre 1954, vers 20 h, un agriculteur (T1) et son employé (T2) en tracteur observent, en arrivant dans un herbage, à une vingtaine de mètre du chemin suivi, un phénomène lumineux qui les effaye Le T1 décrit """"engin lumineux qui tournait à quelques mètres du sol"""" Le lendemain l'agriculteur racontera à l'adjoint au maire que l'objet avait une """"forme circulaire d'un diamètre d'une table ronde ordinaire"""" et avait eu l'impression d'avoir entendu """"le même bourdonnement qu'un essai d'abeille quittant sa ruche"""""
1954-10-09216,[Forme] Autre forme non catégorisée | [Forme 2]  Engin | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] Le 2 octobre 1954 un témoin s'apprête à photographier un dolmen vers 16 h par temps ensoleillé lorsqu'il aperçoit un objet de forme elliptique de couleur claire en déplacement SO-NE
1954-10-09217,"[Forme] Autre forme non catégorisée | [Forme 2]  Objet | [Couleur] Multicolore | [Couleur 2] Stationnaire, Immobile | [Luminosité] Chg direction, niveau de vol | [Taille] Autres (comparaison, repères, etc.) | [Détails visuels] L'observation présente 3 phases : Phase 1 : le phénomène lumineux de couleur verte apparait à 1h34 au-dessus d'une ferme à L'Est NE (direction Mondicourt) sortant des nuages selon un angle de 45° avec la verticale puis se déplace horizontalement vers l'Est à une hauteur de 45° sur 90° (texte) ou 120° (plan) en une demi-seconde, sans bruit, en changeant de couleur (vert à orange puis rouge terne) Pour le sergent il a une forme de disque dont on voit la face inférieure mais dessine une ellipse inclinée de 25-30° sur l'horizontale Il émet une lumière qui change de couleur toutes les 5 secondes environ : « blafarde verte » passant à l'orangé puis au jaune (sergent) en gardant un fond verdâtre (2e classe)"
1954-10-09217,"[Forme] 3D - 1 axe de symétrie - Soucoupe - Disque lenticulaire | [Forme 2]  Objet | [Couleur] Vert;Jaune, Ambre | [Couleur 2] Stationnaire, Immobile | [Luminosité] Autre | [Taille] Chiffrée | [Détails visuels] L'observation présente 3 phases : Phase 1 : le phénomène lumineux de couleur verte apparait à 1h34 au-dessus d'une ferme à L'Est NE (direction Mondicourt) sortant des nuages selon un angle de 45° avec la verticale puis se déplace horizontalement vers l'Est à une hauteur de 45° sur 90° (texte) ou 120° (plan) en une demi-seconde, sans bruit, en changeant de couleur (vert à orange puis rouge terne) Pour le sergent il a une forme de disque dont on voit la face inférieure mais dessine une ellipse inclinée de 25-30° sur l'horizontale Il émet une lumière qui change de couleur toutes les 5 secondes environ : « blafarde verte » passant à l'orangé puis au jaune (sergent) en gardant un fond verdâtre (2e classe)"
1954-10-09218,"[Forme] 3D - 2 axes de symétrie - Sphérique, Boule | [Forme 2]  Objet | [Couleur] Multicolore; | [Couleur 2] nan | [Luminosité] nan | [Taille] nan | [Détails visuels] Le 14 octobre 1954 vers 17h quatre témoins aperçoivent en direction du SO et à une hauteur de 40m un appareil sphérique se déplaçant sans bruit mais à très grande vitesse La description d'un objet sphérique à très grande vitesse et multicolore fait penser à un bolide"
1954-10-09227,"[Forme] 3D - 2 axes de symétrie - Ovoïde | [Forme 2]  Objet; Phénomène | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] Autres (comparaison, repères, etc.) | [Détails visuels] A 19h40, une cultivatrice (T6) qui vient de traire les vaches, remarque d'abord dans le ciel """"un engin lumineux"""" """"se rapportant à tout ce que l'on voit dans la presse ces jours-ci"""" Il est lumineux sur toute sa surface, de couleur orange avec un reflet vert autour et se déplace debout à faible hauteur et plutôt près des bâtiments Vers 19h30, alors qu'elle ferme les volets de sa chambre, une jeune femme (T1) voit en direction du Nord, au-dessus d'un prunier situé dans la cour, une lumière assez forte de couleur jaunâtre, en forme de champignon, semble-t-il, ovale à la partie supérieure et ronde à la partie inférieure, se présentant comme un globe transparent éclairé de l'intérieur"
1954-10-09227,"[Forme] nan | [Forme 2]  Phénomène | [Couleur] Non précisé | [Couleur 2] nan | [Luminosité] nan | [Taille] Autres (comparaison, repères, etc.) | [Détails visuels] A 19h40, une cultivatrice (T6) qui vient de traire les vaches, remarque d'abord dans le ciel """"un engin lumineux"""" """"se rapportant à tout ce que l'on voit dans la presse ces jours-ci"""" Il est lumineux sur toute sa surface, de couleur orange avec un reflet vert autour et se déplace debout à faible hauteur et plutôt près des bâtiments Vers 19h30, alors qu'elle ferme les volets de sa chambre, une jeune femme (T1) voit en direction du Nord, au-dessus d'un prunier situé dans la cour, une lumière assez forte de couleur jaunâtre, en forme de champignon, semble-t-il, ovale à la partie supérieure et ronde à la partie inférieure, se présentant comme un globe transparent éclairé de l'intérieur"
